"Part";"Value";"Device";"Package";"Description";"CATEGORY";"CREATED_BY";"LABEL";"MANUFACTURER";"MPN";"OPERATING_TEMP";"PACKAGE";"PART_STATUS";"POPULARITY";"PROD_ID";"ROHS_COMPLIANT";"SERIES";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";"VOLTAGE_RATING";
"ACT";"RED";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BAT";"CR1220";"CR1220THM";"CR1220-THM";"CR1216/CR1220/CR1225 12mm 3V lithium coin cell";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"22pF";"C_TANTALUM-2412(6032-METRIC)";"CAPM6032X280";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"22pF";"C_TANTALUM-2412(6032-METRIC)";"CAPM6032X280";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"0.1µF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"10uF";"10UF-1206-6.3V-20%";"1206";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-10057";"";"";"";"";"";"";"10uF";"";
"C5";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"";"";"";"";"1.0uF";"";
"C6";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"";"";"";"0.1uF";"";
"C7";"10uF/10V";"CPOL-USA/3216-18R";"A/3216-18R";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"0.1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"0.1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CE";"";"PINHD-1X1-BIGPOGO";"1X1-BIGPOGO";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"UA741D";"UA741D";"SO08";"OP AMP";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"IC2";"UA741D";"UA741D";"SO08";"OP AMP";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"IC3";"4050D";"4050D";"SO16";"Hex non-inverting BUFFER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC4";"LP298XS";"LP298XS";"SOT23-5L";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC5";"DS1307";"DS1307";"DIL08";"DS1307";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
